Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
Which comic characters are painted by Bill Finger?,['http://dbpedia.org/resource/Bill_Finger'],['http://dbpedia.org/ontology/creator'],['http://dbpedia.org/resource/Bill_Finger'],1.0,1.0,['http://dbpedia.org/ontology/creator'],1.0,1.0
Was winston churchill the prime minister of Selwyn Lloyd?,"['http://dbpedia.org/resource/Selwyn_Lloyd', 'http://dbpedia.org/resource/Winston_Churchill']",['http://dbpedia.org/ontology/primeMinister'],['http://dbpedia.org/resource/Selwyn_Lloyd'],1.0,0.5,['http://dbpedia.org/ontology/name'],0.0,0.0
Name some leaders of the parent organisation of the Gestapo?,['http://dbpedia.org/resource/Gestapo'],"['http://dbpedia.org/ontology/parentOrganisation', 'http://dbpedia.org/ontology/leader']",['http://dbpedia.org/resource/Gestapo'],1.0,1.0,[],0,0.0
Which party has come in power in Mumbai North?,['http://dbpedia.org/resource/Mumbai_North_(Lok_Sabha_constituency)'],"['http://dbpedia.org/ontology/party', 'http://dbpedia.org/property/constituency']","['http://dbpedia.org/resource/Mumbai', 'http://dbpedia.org/resource/North']",0.0,0.0,[],0,0.0
Name the municipality of Roberto Clemente Bridge ?,['http://dbpedia.org/resource/Roberto_Clemente_Bridge'],['http://dbpedia.org/ontology/municipality'],['http://dbpedia.org/resource/Roberto_Clemente_Bridge'],1.0,1.0,[],0,0.0
Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ?,"['http://dbpedia.org/resource/Cleopatra_V_of_Egypt', 'http://dbpedia.org/resource/Ptolemy_XIII_Theos_Philopator']","['http://dbpedia.org/property/mother', 'http://dbpedia.org/property/spouse']","['http://aksw.org/notInWiki/TheosPhilopator', 'http://dbpedia.org/resource/Cleopatra_V_of_Egypt']",0.5,0.5,['http://dbpedia.org/ontology/spouse'],1.0,0.5
In which monarch did Li Si succeed someone?,['http://dbpedia.org/resource/Li_Si'],"['http://dbpedia.org/ontology/successor', 'http://dbpedia.org/ontology/monarch']",['http://dbpedia.org/resource/Li_Si'],1.0,1.0,['http://dbpedia.org/ontology/successor'],1.0,0.5
Which home town of PAvel Moroz is the death location of the Yakov Estrin ?,"['http://dbpedia.org/resource/Pavel_Moroz', 'http://dbpedia.org/resource/Yakov_Estrin']","['http://dbpedia.org/ontology/deathPlace', 'http://dbpedia.org/property/hometown']","['http://aksw.org/notInWiki/theYakovEstrin', 'http://aksw.org/notInWiki/PAvelMoroz']",0.0,0.0,[],0,0.0
"Which company which assembles its cars in Broadmeadows, Victoria?","['http://dbpedia.org/resource/Broadmeadows,_Victoria']","['http://dbpedia.org/ontology/parentCompany', 'http://dbpedia.org/property/assembly']","['http://dbpedia.org/resource/Broadmeadows,_Victoria', 'http://aksw.org/notInWiki/Victoria']",0.5,1.0,['http://dbpedia.org/ontology/mass'],0.0,0.0
Which person designed the cars which has been designed by ASC Creative Services?,['http://dbpedia.org/resource/ASC_Creative_Services'],"['http://dbpedia.org/ontology/designCompany', 'http://dbpedia.org/property/designer']",['http://aksw.org/notInWiki/ASCCreativeServices'],0.0,0.0,"['http://dbpedia.org/ontology/architect', 'http://dbpedia.org/ontology/architect']",0.0,0.0
Name the scientist whose supervisor was Ernest Rutherford and had a doctoral students named Charles Drummond Ellis?,"['http://dbpedia.org/resource/Ernest_Rutherford', 'http://dbpedia.org/resource/Charles_Drummond_Ellis']","['http://dbpedia.org/ontology/doctoralAdvisor', 'http://dbpedia.org/property/doctoralStudents']","['http://dbpedia.org/resource/Charles_Drummond_Ellis', 'http://dbpedia.org/resource/Ernest_Rutherford']",1.0,1.0,[],0,0.0
Where was the designer of REP Parasol born?,['http://dbpedia.org/resource/REP_Parasol'],"['http://dbpedia.org/ontology/designer', 'http://dbpedia.org/ontology/birthPlace']",['http://dbpedia.org/resource/REP_Parasol'],1.0,1.0,['http://dbpedia.org/ontology/birthYear'],0.0,0.0
What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher?,"[""http://dbpedia.org/resource/Monroe_Carell_Jr._Children's_Hospital_at_Vanderbilt"", 'http://dbpedia.org/resource/Duncan_U._Fletcher']","['http://dbpedia.org/ontology/almaMater', 'http://dbpedia.org/property/affiliation']","[""http://aksw.org/notInWiki/theMonroeCarellJrChildren'sHospital"", 'http://aksw.org/notInWiki/theDuncanUFletcher', 'http://aksw.org/notInWiki/Vanderbilt']",0.0,0.0,[],0,0.0
"What is the hometown of Nader Guirat, where Josef Johansson was born too?","['http://dbpedia.org/resource/Josef_Johansson', 'http://dbpedia.org/resource/Nader_Guirat']","['http://dbpedia.org/ontology/hometown', 'http://dbpedia.org/property/birthPlace']","['http://dbpedia.org/resource/Josef_Johansson', 'http://dbpedia.org/resource/Nader_Guirat']",1.0,1.0,['http://dbpedia.org/ontology/birthPlace'],1.0,0.5
What tv series can be said to be related to the sarah jane adventure and dr who confidential?,"['http://dbpedia.org/resource/The_Sarah_Jane_Adventures', 'http://dbpedia.org/resource/Doctor_Who_Confidential']","['http://dbpedia.org/ontology/related', 'http://dbpedia.org/ontology/related']",[],0,0.0,['http://dbpedia.org/ontology/related'],1.0,0.5
How many shows does HBO have?,['http://dbpedia.org/resource/HBO'],['http://dbpedia.org/ontology/company'],['http://dbpedia.org/resource/HBO'],1.0,1.0,[],0,0.0
Is Nikolai Morozov the former coach of Stanislav Morozov?,"['http://dbpedia.org/resource/Stanislav_Morozov', 'http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)']",['http://dbpedia.org/ontology/formerCoach'],"['http://dbpedia.org/resource/Stanislav_Morozov', 'http://aksw.org/notInWiki/NikolaiMorozov']",0.5,0.5,[],0,0.0
What is the common genere of Abhijit Kunte and Kasparov ?,"['http://dbpedia.org/resource/Abhijit_Kunte', 'http://dbpedia.org/resource/Virtual_Kasparov']","['http://dbpedia.org/ontology/genre', 'http://dbpedia.org/property/knownFor']","['http://dbpedia.org/resource/Abhijit_Kunte', 'http://dbpedia.org/resource/Garry_Kasparov']",0.5,0.5,[],0,0.0
Which share holder of outlook is also the content license of the MSX Basics ?,"['http://dbpedia.org/resource/MSX_BASIC', 'http://dbpedia.org/resource/Outlook_on_the_web']","['http://dbpedia.org/property/license', 'http://dbpedia.org/property/owner']",[],0,0.0,['http://dbpedia.org/ontology/division'],0.0,0.0
On how many different grounds were seasons chaired by Ronaldo held?,['http://dbpedia.org/resource/Ronaldo'],"['http://dbpedia.org/ontology/chairman', 'http://dbpedia.org/ontology/ground']",['http://dbpedia.org/resource/Ronaldo'],1.0,1.0,"['http://dbpedia.org/ontology/chairman', 'http://dbpedia.org/ontology/commander']",0.5,0.5
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov ?,"['http://dbpedia.org/resource/Samur–Absheron_channel', 'http://dbpedia.org/resource/Anar_Salmanov']","['http://dbpedia.org/ontology/sourceCountry', 'http://dbpedia.org/property/placeOfBirth']","['http://dbpedia.org/resource/Anar_Salmanov', 'http://aksw.org/notInWiki/SamurAbsheron']",0.5,0.5,[],0,0.0
Where was the battle fought where 2nd Foreign Infantry Regiment participated  ?,['http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment'],"['http://dbpedia.org/ontology/battle', 'http://dbpedia.org/ontology/territory']",['http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment'],1.0,1.0,"['http://dbpedia.org/ontology/type', 'http://dbpedia.org/ontology/participant']",0.0,0.0
What is the operator of SR class 3Sub ?,['http://dbpedia.org/resource/SR_class_3Sub'],['http://dbpedia.org/ontology/operator'],"['http://aksw.org/notInWiki/SR', 'http://aksw.org/notInWiki/3']",0.0,0.0,[],0,0.0
Which band's  former member are Kevin Jonas and Joe Jonas?,"['http://dbpedia.org/resource/Kevin_Jonas', 'http://dbpedia.org/resource/Joe_Jonas']","['http://dbpedia.org/ontology/formerBandMember', 'http://dbpedia.org/property/pastMembers']","['http://dbpedia.org/resource/Kevin_Jonas', 'http://dbpedia.org/resource/Joe_Jonas']",1.0,1.0,[],0,0.0
