Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
What is the alma mater of the chancellor of Germany Angela Merkel?,[],['http://dbpedia.org/ontology/almaMater'],"['http://dbpedia.org/resource/Angela_Merkel', 'http://dbpedia.org/resource/Germany']",1,1,[],0,0.0
How large is the area of UK?,[],['http://dbpedia.org/ontology/areaTotal'],['http://dbpedia.org/resource/United_Kingdom'],1,1,[],0,0.0
Who is the author of the interpretation of dreams?,[],['http://dbpedia.org/ontology/author'],[],1,1,[],0,0.0
What is the birth name of Adele?,[],['http://dbpedia.org/ontology/birthName'],['http://dbpedia.org/resource/Adele'],1,1,[],0,0.0
What are the top selling luxury vehicle brands in Germany?,[],['ct:subjec'],['http://dbpedia.org/resource/Germany'],1,1,[],0,0.0
How many awards has Bertrand Russell?,[],['http://dbpedia.org/property/awards'],['http://dbpedia.org/resource/Bertrand_Russell'],1,1,[],0,0.0
Who is Dan Jurafsky?,[],['Da'],['http://dbpedia.org/resource/Daniel_Jurafsky'],1,1,[],0,0.0
When will start the final match of the football world cup 2018?,[],['http://dbpedia.org/property/date'],['http://aksw.org/notInWiki/2018'],1,1,['http://dbpedia.org/ontology/source'],0.0,0.0
how much is the elevation of Düsseldorf Airport ?,[],['http://dbpedia.org/ontology/elevation'],['http://dbpedia.org/resource/Düsseldorf_Airport'],1,1,[],0,0.0
how much is the total population of  european union?,[],['http://dbpedia.org/ontology/populationTotal'],[],1,1,[],0,0.0
when was the founding date of french fifth republic?,[],['http://dbpedia.org/ontology/foundingDate'],['http://aksw.org/notInWiki/fifth'],1,1,['http://dbpedia.org/ontology/institution'],0.0,0.0
Who are the founders of  BlaBlaCar?,[],['http://dbpedia.org/property/founders'],['http://dbpedia.org/resource/BlaBlaCar'],1,1,[],0,0.0
how many foreigners speak German?,[],['http://dbpedia.org/property/speakers'],['http://aksw.org/notInWiki/German'],1,1,['http://dbpedia.org/ontology/voice'],0.0,0.0
Where is the birthplace of Goethe?,[],['http://dbpedia.org/ontology/birthPlace'],['http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe'],1,1,[],0,0.0
Where is the origin of Carolina reaper?,[],['http://dbpedia.org/ontology/origin'],['http://aksw.org/notInWiki/Carolina'],1,1,[],0,0.0
How much is the population of Mexico City ?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Mexico_City'],1,1,[],0,0.0
What is the nick name of Baghdad?,[],['oaf:nic'],['http://dbpedia.org/resource/Baghdad'],1,1,[],0,0.0
Who is the novelist of the work a song of ice and fire?,[],['http://dbpedia.org/property/author'],[],1,1,[],0,0.0
What is the percentage of area water in Brazil?,[],['http://dbpedia.org/ontology/percentageOfAreaWater'],['http://dbpedia.org/resource/Brazil'],1,1,[],0,0.0
How much is the population of Iraq?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Iraq'],1,1,[],0,0.0
What is the population of Cairo?,[],['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Cairo'],1,1,[],0,0.0
How much is the population density rank of Germany?,[],['http://dbpedia.org/property/populationDensityRank'],['http://dbpedia.org/resource/Germany'],1,1,[],0,0.0
What is the relation between Resource Description Framework and Web Ontology Language?,[],['http://dbpedia.org/ontology/abstract'],[],1,1,[],0,0.0
How large is the total area of North Rhine-Westphalia?,[],['http://dbpedia.org/ontology/areaTotal'],"['http://dbpedia.org/resource/North_Rhine', 'http://dbpedia.org/resource/Westphalia']",1,1,[],0,0.0
What is the original title of the interpretation of dreams?,[],['oaf:nam'],[],1,1,[],0,0.0
Who are the writers of the Wall album of Pink Floyd?,[],['http://dbpedia.org/property/writer'],"['http://dbpedia.org/resource/Pink_Floyd', 'http://dbpedia.org/resource/Nathaniel_Wallich']",1,1,[],0,0.0
When was the death  of  Shakespeare?,[],['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/William_Shakespeare'],1,1,['http://dbpedia.org/ontology/date'],0.0,0.0
With how many countries Iran has borders?,[],['http://dbpedia.org/property/borders'],['http://dbpedia.org/resource/Iran'],1,1,[],0,0.0
What is the smallest city by area in Germany?,[],"['kos:broade', 'ct:subjec']",['http://dbpedia.org/resource/Germany'],1,1,[],0,0.0
Which beer brewing comapnies are located in North-Rhine Westphalia?,[],[],['http://dbpedia.org/resource/North_Rhine-Westphalia'],1,1,['http://dbpedia.org/ontology/locatedInArea'],1,1
What is the largest city in america?,[],['http://dbpedia.org/ontology/largestCity'],['http://dbpedia.org/resource/United_States'],1,1,[],0,0.0
Who is the current federal minister of finance in Germany?,['http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)'],['http://dbpedia.org/ontology/leader'],['http://dbpedia.org/resource/Germany'],0.0,0.0,[],0,0.0
What is the highest mountain in the Bavarian Alps?,[],['http://dbpedia.org/property/highest'],['http://aksw.org/notInWiki/theBavarianAlps'],1,1,[],0,0.0
Who is 8th president of US?,[],"['http://dbpedia.org/ontology/wikiPageRedirects', 'http://dbpedia.org/property/name']","['http://aksw.org/notInWiki/8th', 'http://aksw.org/notInWiki/US']",1,1,[],0,0.0
Where is the most deep point in the ocean?,[],['ct:subjec'],[],1,1,[],0,0.0
In which state Penn State University is located?,[],['http://dbpedia.org/ontology/state'],['http://dbpedia.org/resource/Pennsylvania_State_University'],1,1,['http://dbpedia.org/ontology/locatedInArea'],0.0,0.0
Which species does an elephant belong?,[],['http://dbpedia.org/property/species'],[],1,1,"['http://dbpedia.org/ontology/species', 'http://dbpedia.org/ontology/date']",0.5,1.0
What is Donald Trump's main business?,[],['http://dbpedia.org/ontology/owner'],['http://dbpedia.org/resource/Donald_Trump'],1,1,[],0,0.0
What is the last work of Dan Brown?,[],"['http://dbpedia.org/ontology/author', 'http://dbpedia.org/ontology/releaseDate|dbo:publicationDate']",['http://dbpedia.org/resource/Dan_Brown'],1,1,[],0,0.0
What other books have been written by the author of The Fault in Our Stars?,['http://dbpedia.org/resource/John_Green_(author)'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/The_Fault_in_Our_Stars'],0.0,0.0,['http://dbpedia.org/ontology/author'],1.0,1.0
